SKU,LOC,FECHA,UNI
Art02,LOC_001,01/04/2019,1
Art04,LOC_001,01/04/2019,1
Art04,LOC_002,01/04/2019,1
Art06,LOC_002,01/04/2019,1
Art08,LOC_002,01/04/2019,1
Art02,LOC_003,01/04/2019,1
Art03,LOC_003,01/04/2019,2
Art08,LOC_003,01/04/2019,1
Art09,LOC_003,01/04/2019,1
Art01,LOC_004,01/04/2019,1
Art02,LOC_004,01/04/2019,1
Art03,LOC_004,01/04/2019,2
Art04,LOC_004,01/04/2019,1
Art09,LOC_004,01/04/2019,1
Art01,LOC_005,01/04/2019,1
Art03,LOC_005,01/04/2019,6
Art04,LOC_005,01/04/2019,1
Art09,LOC_005,01/04/2019,1
Art03,LOC_006,01/04/2019,1
Art06,LOC_006,01/04/2019,1
Art08,LOC_006,01/04/2019,2
Art02,LOC_007,01/04/2019,1
Art03,LOC_007,01/04/2019,1
Art04,LOC_007,01/04/2019,1
Art05,LOC_007,01/04/2019,3
Art01,LOC_008,01/04/2019,2
Art03,LOC_008,01/04/2019,2
Art03,LOC_009,01/04/2019,3
Art06,LOC_009,01/04/2019,1
Art09,LOC_009,01/04/2019,2
Art03,LOC_010,01/04/2019,3
Art10,LOC_010,01/04/2019,1
Art03,LOC_011,01/04/2019,1
Art04,LOC_011,01/04/2019,1
Art08,LOC_011,01/04/2019,1
Art01,LOC_012,01/04/2019,1
Art03,LOC_012,01/04/2019,4
Art04,LOC_012,01/04/2019,1
Art06,LOC_012,01/04/2019,2
Art07,LOC_012,01/04/2019,2
Art08,LOC_012,01/04/2019,1
Art01,LOC_013,01/04/2019,1
Art02,LOC_013,01/04/2019,1
Art03,LOC_013,01/04/2019,5
Art04,LOC_013,01/04/2019,2
Art05,LOC_013,01/04/2019,2
Art06,LOC_014,01/04/2019,1
Art03,LOC_015,01/04/2019,1
Art06,LOC_015,01/04/2019,3
Art08,LOC_015,01/04/2019,1
Art09,LOC_015,01/04/2019,2
Art10,LOC_015,01/04/2019,1
Art03,LOC_016,01/04/2019,3
Art07,LOC_016,01/04/2019,1
Art08,LOC_016,01/04/2019,1
Art02,LOC_017,01/04/2019,3
Art05,LOC_017,01/04/2019,4
Art06,LOC_017,01/04/2019,1
Art02,LOC_018,01/04/2019,1
Art03,LOC_018,01/04/2019,1
Art05,LOC_018,01/04/2019,4
Art06,LOC_018,01/04/2019,1
Art07,LOC_018,01/04/2019,1
Art09,LOC_018,01/04/2019,1
Art06,LOC_019,01/04/2019,1
Art07,LOC_019,01/04/2019,1
Art10,LOC_019,01/04/2019,1
Art03,LOC_020,01/04/2019,2
Art04,LOC_020,01/04/2019,1
Art08,LOC_020,01/04/2019,1
Art06,LOC_021,01/04/2019,1
Art07,LOC_021,01/04/2019,1
Art06,LOC_022,01/04/2019,2
Art07,LOC_022,01/04/2019,1
Art04,LOC_023,01/04/2019,1
Art05,LOC_023,01/04/2019,2
Art06,LOC_023,01/04/2019,1
Art01,LOC_024,01/04/2019,2
Art02,LOC_024,01/04/2019,3
Art03,LOC_024,01/04/2019,1
Art04,LOC_024,01/04/2019,1
Art06,LOC_024,01/04/2019,1
Art08,LOC_024,01/04/2019,1
Art09,LOC_024,01/04/2019,1
Art01,LOC_025,01/04/2019,3
Art03,LOC_025,01/04/2019,1
Art04,LOC_025,01/04/2019,2
Art05,LOC_025,01/04/2019,3
Art07,LOC_025,01/04/2019,1
Art08,LOC_025,01/04/2019,1
Art10,LOC_025,01/04/2019,1
Art04,LOC_026,01/04/2019,1
Art09,LOC_026,01/04/2019,1
Art06,LOC_027,01/04/2019,1
Art08,LOC_027,01/04/2019,2
Art10,LOC_027,01/04/2019,1
Art01,LOC_028,01/04/2019,6
Art03,LOC_028,01/04/2019,1
Art04,LOC_028,01/04/2019,2
Art05,LOC_028,01/04/2019,2
Art06,LOC_028,01/04/2019,1
Art05,LOC_029,01/04/2019,1
Art09,LOC_029,01/04/2019,1
Art01,LOC_030,01/04/2019,3
Art02,LOC_030,01/04/2019,1
Art03,LOC_030,01/04/2019,1
Art05,LOC_030,01/04/2019,1
Art09,LOC_030,01/04/2019,1
Art10,LOC_030,01/04/2019,2
Art01,LOC_031,01/04/2019,3
Art03,LOC_031,01/04/2019,3
Art06,LOC_031,01/04/2019,6
Art09,LOC_031,01/04/2019,2
Art01,LOC_032,01/04/2019,4
Art04,LOC_032,01/04/2019,1
Art02,LOC_033,01/04/2019,2
Art03,LOC_033,01/04/2019,3
Art04,LOC_033,01/04/2019,1
Art05,LOC_033,01/04/2019,1
Art06,LOC_033,01/04/2019,2
Art07,LOC_033,01/04/2019,1
Art10,LOC_033,01/04/2019,1
Art02,LOC_034,01/04/2019,3
Art03,LOC_034,01/04/2019,4
Art05,LOC_034,01/04/2019,3
Art06,LOC_034,01/04/2019,1
Art07,LOC_034,01/04/2019,2
Art08,LOC_034,01/04/2019,1
Art02,LOC_035,01/04/2019,2
Art03,LOC_035,01/04/2019,2
Art06,LOC_035,01/04/2019,2
Art08,LOC_035,01/04/2019,1
Art10,LOC_035,01/04/2019,1
Art03,LOC_036,01/04/2019,1
Art04,LOC_036,01/04/2019,1
Art05,LOC_036,01/04/2019,1
Art07,LOC_036,01/04/2019,1
Art02,LOC_037,01/04/2019,1
Art03,LOC_037,01/04/2019,2
Art04,LOC_037,01/04/2019,1
Art07,LOC_037,01/04/2019,1
Art10,LOC_037,01/04/2019,1
Art01,LOC_038,01/04/2019,3
Art03,LOC_038,01/04/2019,1
Art04,LOC_038,01/04/2019,4
Art05,LOC_038,01/04/2019,1
Art06,LOC_038,01/04/2019,1
Art09,LOC_038,01/04/2019,1
Art02,LOC_039,01/04/2019,1
Art03,LOC_039,01/04/2019,1
Art06,LOC_039,01/04/2019,1
Art09,LOC_039,01/04/2019,1
Art01,LOC_040,01/04/2019,1
Art02,LOC_040,01/04/2019,1
Art03,LOC_040,01/04/2019,1
Art04,LOC_040,01/04/2019,1
Art05,LOC_040,01/04/2019,1
Art07,LOC_040,01/04/2019,1
Art01,LOC_041,01/04/2019,1
Art02,LOC_041,01/04/2019,5
Art03,LOC_041,01/04/2019,4
Art04,LOC_041,01/04/2019,2
Art05,LOC_041,01/04/2019,1
Art06,LOC_041,01/04/2019,5
Art01,LOC_042,01/04/2019,3
Art02,LOC_042,01/04/2019,1
Art04,LOC_042,01/04/2019,1
Art06,LOC_042,01/04/2019,1
Art07,LOC_042,01/04/2019,1
Art01,LOC_043,01/04/2019,1
Art03,LOC_043,01/04/2019,1
Art07,LOC_043,01/04/2019,1
Art01,LOC_044,01/04/2019,3
Art06,LOC_044,01/04/2019,1
Art01,LOC_045,01/04/2019,1
Art02,LOC_045,01/04/2019,1
